lat,lon,pop
36.4340911944,-118.5965161667,1.0
34.2131906648,-118.1594824211,1.0
34.1564721667,-117.9778666667,1.0
37.73917327,-119.5731952954,1.0
37.7440383333,-119.59973,1.0
34.232955,-117.797293,1.0
34.1566916667,-117.97808,1.0
39.852459,-121.699974,1.0
34.1607555,-117.9789416667,1.0
36.6036383652,-118.7251681715,1.0
36.6033154727,-118.7724318979,1.0
34.1579695,-117.9849866667,1.0
34.1569833333,-117.9787666667,1.0
34.1560888333,-117.97795,1.0
34.1588638333,-117.9845666667,1.0
34.1670224266,-117.9961813085,1.0
37.6728435974,-119.6532996239,1.0
37.7546116667,-119.7965,1.0
39.3430583333,-120.289605,1.0
37.7532291516,-119.7956107745,1.0
37.7651594325,-119.7749456469,1.0
34.1810162996,-118.0971021245,1.0
38.199225,-119.8533383333,1.0
39.6161390885,-120.592994735,1.0
34.2542449512,-118.2467360546,1.0
39.813512044,-122.8045389198,1.0
40.3874661526,-121.4948826856,1.0
39.9490721426,-121.5893692844,1.0
39.9892765959,-121.650472187,1.0
40.0430429364,-121.3559614821,1.0
37.6721248865,-119.5884907309,1.0
37.7979736181,-119.5097899279,1.0
40.2263639427,-120.9547866486,1.0
40.00470278,-121.629495,1.0
37.570968112,-120.1579172582,1.0
37.594894,-120.025256,1.0
37.7447407917,-119.5950578425,1.0
38.911045,-119.95783833,1.0
37.6881127689,-119.5451589121,1.0
34.6397781887,-118.5259355194,1.0
34.1561555,-117.97817167,1.0
39.8259656837,-120.4589823633,1.0
34.15643617,-117.97823333,1.0
39.2181361111,-123.6794,1.0
34.156325,-117.97804167,1.0
34.15615,-117.97827833,1.0
39.06756667,-120.14198333,1.0
34.4362116667,-118.898505,1.0
36.56919167,-118.76873833,1.0
36.565605,-118.77092,1.0
34.15615833,-117.97818,1.0
37.280851,-118.466837,1.0
34.15636117,-117.97823333,1.0
34.15652783,-117.977945,1.0
36.6112263,-118.6946194,1.0
34.2420333236,-117.8798214527,1.0
34.1561305,-117.9784,1.0
39.1191573362,-120.0559073778,1.0
34.156525,-117.977975,1.0
34.12759717,-116.988695,1.0
