lat,lon,pop
32.569755,-109.95012,1.0
32.3954383333,-108.8485416667,1.0
32.613739214999995,-108.408725855,2.0
32.6030226445,-106.4648221214,1.0
32.437055931299994,-91.39900799015001,2.0
32.44625201276667,-91.31116558936667,3.0
32.4055073849,-89.8957276767,1.0
32.52041158,-83.46817473774999,2.0
32.642819442,-110.6809818095,1.0
32.67465892,-109.866406555,2.0
32.6709146385931,-108.5404682097793,29.0
32.78916195963333,-108.234587455,3.0
32.7966232757,-107.9611661274,1.0
32.8642951527,-105.6753936747,1.0
32.7956646424,-92.2237844497,1.0
32.8315082828,-84.8399341106,1.0
32.8701332667,-83.6314109529,1.0
32.8291967157,-83.6058814683,1.0
32.8093277778,-79.9843694444,1.0
32.920893903,-110.733490102,1.0
32.903643608349995,-110.46816132555,2.0
32.91565215045,-109.46320121225,2.0
33.085559501000006,-109.0570641903,2.0
32.961316,-108.472949,1.0
32.94936920833333,-108.19949606995,6.0
33.103339693799995,-108.02633055365,2.0
32.945569038740004,-105.75528012312,10.0
33.09136463506667,-92.22235659969999,12.0
33.086206337146,-91.90162370967501,100.0
33.06586508906154,-91.80522555968462,13.0
32.9601585022,-82.5815479803,1.0
33.251447383249996,-110.9789194217,2.0
33.290892444700006,-110.81621790475,2.0
33.25652994,-108.40858799,2.0
33.2792130037,-108.2665350661,1.0
33.3597641173,-107.75354667044999,2.0
33.1781297766,-107.5375126227,1.0
33.30227511463333,-105.67247471876665,3.0
33.365402,-93.495176,1.0
33.323119,-93.350639,1.0
33.24827970052,-93.00788551650001,5.0
33.159886889,-92.7369375862,1.0
33.26404263395417,-92.22470320474584,24.0
33.26717490505,-92.073164765825,8.0
33.27261193897573,-91.64456440053883,103.0
33.3549283838,-91.565749229025,4.0
33.4873278316,-111.1331873622,1.0
33.4184975337,-111.0466752877,1.0
33.610403274999996,-109.395852075,2.0
33.48839483333334,-109.32689699999999,6.0
33.4325130715,-108.76551340705001,2.0
33.43383807495,-108.28484410979999,2.0
33.4115533333,-105.6997083333,1.0
33.5568456575,-93.2698059082,1.0
33.449180633,-93.07941054074999,2.0
33.532199563000006,-92.74178428835,2.0
33.4055935,-92.385178,2.0
33.40246744126667,-92.23674220193334,3.0
33.447652970358,-91.75959743762,50.0
33.50635880321428,-91.57186955439524,21.0
33.6225896443,-78.9471968097,1.0
33.771736257499995,-116.7847813794,2.0
33.8056298469,-110.8874354045,1.0
33.7164360556,-109.298022,1.0
33.7618179321,-108.9772338867,1.0
33.735988000000006,-108.44263883335,2.0
33.766305,-106.895685,1.0
33.72578319303333,-93.1747773023,3.0
33.847630928133334,-92.53235909735001,6.0
33.7563253316,-92.3201716968,1.0
33.6311362093,-91.53810948005454,11.0
33.8462361111,-83.3215027778,1.0
33.7404454605,-79.3074010198,1.0
33.81685116165,-78.95283050025,2.0
33.78300663675,-78.83372817935,2.0
34.024877729425,-118.24465225407499,4.0
34.0866685186,-117.9608882285,4.0
34.10602502263333,-117.82322339223333,3.0
34.07027843239231,-116.95701447393846,13.0
34.01413352822143,-116.7261673434,14.0
34.04968597335,-116.5620832738875,8.0
33.9454693589,-112.616690918,1.0
33.9259416667,-111.72828,1.0
34.0753339826,-111.4135932898,1.0
34.0489281,-111.0937311,1.0
34.0269183397,-110.7404167412,1.0
34.0897753893,-110.3387118146,1.0
34.0598467796,-109.8692226782,1.0
34.06508744116667,-109.56758907466667,3.0
33.8857111515,-109.335908331,1.0
33.9172283333,-108.7609783333,1.0
34.1222222222,-108.5152777778,1.0
33.916412,-106.85174,1.0
33.91502368302143,-93.15893925612856,14.0
